epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1961.29,0.70475,0.60165,0.99712,0.85271,0.95329,0.94295,0.80782,0.61196,0.47882,0.96351,0.0005941,0.0005941,0.0005941
43,2007.11,0.70097,0.58411,0.98925,0.88053,0.94939,0.95885,0.82867,0.59638,0.4634,0.9516,0.0005842,0.0005842,0.0005842
44,2054,0.71819,0.58894,1.00366,0.87536,0.93779,0.94072,0.82561,0.55812,0.4282,0.94291,0.0005743,0.0005743,0.0005743
45,2100.04,0.69886,0.58006,0.99254,0.84978,0.91411,0.93124,0.79968,0.6116,0.45293,0.94849,0.0005644,0.0005644,0.0005644
46,2146.94,0.68917,0.58409,0.98718,0.83875,0.97258,0.94506,0.83126,0.5497,0.44321,0.93132,0.0005545,0.0005545,0.0005545
47,2193.19,0.67363,0.55989,0.99027,0.86112,0.92562,0.93323,0.79933,0.63324,0.44378,0.95241,0.0005446,0.0005446,0.0005446
48,2240.41,0.66912,0.57089,0.98372,0.84833,0.94905,0.94246,0.81271,0.56178,0.4441,0.93984,0.0005347,0.0005347,0.0005347
49,2286.5,0.65885,0.53922,0.97106,0.87972,0.91599,0.93713,0.82523,0.54151,0.4217,0.9331,0.0005248,0.0005248,0.0005248
50,2333.78,0.67912,0.54326,0.98778,0.85601,0.96491,0.94907,0.83308,0.54392,0.43708,0.93035,0.0005149,0.0005149,0.0005149
51,2380.28,0.64381,0.56346,0.97358,0.84743,0.93902,0.93351,0.82574,0.54002,0.46614,0.92252,0.000505,0.000505,0.000505
52,2426.68,0.65275,0.53851,0.96215,0.86592,0.9514,0.93941,0.82367,0.56178,0.4163,0.93661,0.0004951,0.0004951,0.0004951
53,2473.89,0.63941,0.52996,0.96581,0.8551,0.938,0.93881,0.82344,0.53142,0.42514,0.92334,0.0004852,0.0004852,0.0004852
54,2520.09,0.65684,0.55143,0.98039,0.87396,0.95056,0.93677,0.83259,0.54119,0.43103,0.93432,0.0004753,0.0004753,0.0004753
55,2566.84,0.6378,0.53673,0.97509,0.85739,0.95048,0.93921,0.81445,0.56011,0.4783,0.93057,0.0004654,0.0004654,0.0004654
56,2612.86,0.62873,0.53882,0.96641,0.8462,0.96357,0.95067,0.83009,0.54596,0.42415,0.92791,0.0004555,0.0004555,0.0004555
57,2659.65,0.62245,0.51767,0.96004,0.90211,0.91407,0.9449,0.83634,0.54584,0.41439,0.93055,0.0004456,0.0004456,0.0004456
58,2705.72,0.6417,0.52948,0.97427,0.85108,0.96726,0.95261,0.85114,0.5017,0.38951,0.90704,0.0004357,0.0004357,0.0004357
59,2753.09,0.6271,0.52484,0.96141,0.89076,0.93094,0.95,0.84562,0.48924,0.39691,0.91422,0.0004258,0.0004258,0.0004258
60,2798.21,0.61378,0.5142,0.95334,0.84645,0.96031,0.94583,0.83028,0.55483,0.39889,0.92723,0.0004159,0.0004159,0.0004159
61,2845.12,0.60852,0.51571,0.95549,0.86496,0.93122,0.93808,0.83388,0.53614,0.39243,0.92503,0.000406,0.000406,0.000406
62,2890.29,0.61831,0.51026,0.9535,0.88146,0.93657,0.9434,0.83286,0.50418,0.38092,0.90746,0.0003961,0.0003961,0.0003961
63,2936.6,0.59999,0.51235,0.9525,0.87016,0.93262,0.94461,0.85302,0.45177,0.37317,0.89148,0.0003862,0.0003862,0.0003862
64,2982.94,0.58073,0.48846,0.9377,0.90505,0.90737,0.94161,0.85259,0.46984,0.3811,0.88868,0.0003763,0.0003763,0.0003763
65,3029.05,0.5858,0.48937,0.94272,0.84629,0.92832,0.92891,0.83857,0.47995,0.38466,0.90056,0.0003664,0.0003664,0.0003664
66,3074.71,0.5694,0.49776,0.93535,0.87249,0.92454,0.93937,0.84848,0.47081,0.39122,0.89874,0.0003565,0.0003565,0.0003565
67,3121.04,0.58041,0.50373,0.94271,0.91572,0.89058,0.93515,0.85227,0.47057,0.36424,0.90132,0.0003466,0.0003466,0.0003466
68,3167.28,0.57957,0.48855,0.94552,0.85863,0.92068,0.93266,0.85008,0.42828,0.36156,0.88373,0.0003367,0.0003367,0.0003367
69,3214.18,0.56514,0.47454,0.93482,0.88067,0.9256,0.94195,0.85211,0.45277,0.38177,0.89322,0.0003268,0.0003268,0.0003268
70,3259.88,0.56817,0.48438,0.93666,0.88614,0.92871,0.9435,0.85408,0.45179,0.34395,0.89137,0.0003169,0.0003169,0.0003169
71,3306.9,0.55525,0.47219,0.93026,0.86437,0.9694,0.95982,0.86576,0.46329,0.35311,0.89441,0.000307,0.000307,0.000307
72,3354.13,0.54499,0.46598,0.9293,0.93448,0.90242,0.95561,0.87107,0.43947,0.3403,0.88546,0.0002971,0.0002971,0.0002971
73,3399.99,0.53597,0.4649,0.92657,0.85754,0.94795,0.94613,0.84969,0.47317,0.40275,0.8987,0.0002872,0.0002872,0.0002872
